target,gender,match_id,home_team,away_team,sportsbook_line,prediction,actual,edge,bet,bet_hit,profit,roi_pct
q3_total,men_or_open,15545315,APR BBC,Azomco,39.0,23.8,47,-15.2,UNDER,False,-1,-100
q3_total,men_or_open,15545314,East African University Rwanda,Kepler BBC,39.0,25.0,51,-14.0,UNDER,False,-1,-100
q3_total,men_or_open,15545313,Inspired Generation,Tigers BBC,39.0,31.6,36,-7.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15535812,Blaze Wolves,Athletico Carioca,39.0,29.8,43,-9.2,UNDER,False,-1,-100
q3_total,men_or_open,15535811,Montebravo City,CD Molino Alto,39.0,27.2,47,-11.8,UNDER,False,-1,-100
q3_total,men_or_open,15535807,Atl?tico Valdemiga,Academia Astilleros,39.0,27.7,49,-11.3,UNDER,False,-1,-100
q3_total,men_or_open,15535806,Las Baster,Sporting Curasan,39.0,42.1,51,3.1,OVER,True,0.91,91.0
q3_total,men_or_open,15535805,Owoghy United,CB Pi?eiros,39.0,28.9,38,-10.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15535337,BC Jurbarkas-Karys,Plung?s Olimpas,39.0,29.6,50,-9.4,UNDER,False,-1,-100
q3_total,men_or_open,15535315,Alytaus Alytus,Klaip?dos Nept?nas-Akvaservis,39.0,28.1,43,-10.9,UNDER,False,-1,-100
q3_total,men_or_open,15531704,Kretingos Kretinga,Omega Kauno,39.0,26.5,39,-12.5,UNDER,False,-1,-100
q3_total,men_or_open,15531695,Vilniaus Stekas,?ilut?s ?ilut?,39.0,27.0,45,-12.0,UNDER,False,-1,-100
q3_total,men_or_open,15531557,Kauno ?algiris II,Sud?va-Mantinga Marijampol?,39.0,25.4,42,-13.6,UNDER,False,-1,-100
q3_total,men_or_open,15530809,MCR Lima-Horta Barcelona,Unicaja Mijas Malaga,39.0,28.9,40,-10.1,UNDER,False,-1,-100
q3_total,men_or_open,15530808,Fundacion Navarra Baloncesto Ardoi,Fustecma NBF Castell?,39.0,24.1,29,-14.9,UNDER,True,0.91,91.0
q3_total,men_or_open,15530807,Club Baloncesto Adareva Tenerife,Melilla Ciudad del Deporte La Salle,39.0,25.9,35,-13.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15530806,Bosonit Unibasket Logro?o,Cajasol Baloncesto Sevilla,39.0,25.0,31,-14.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15530805,Club B?squet Santfeliuenc,Azulmarino Mallorca Palma,39.0,41.4,49,2.4,OVER,True,0.91,91.0
q3_total,men_or_open,15530804,Iraurgi Saski Baloia,CD Zamarat,39.0,25.1,26,-13.9,UNDER,True,0.91,91.0
q3_total,men_or_open,15530803,Celta Femxa Zorka,Sernova Renovables Real Canoe,39.0,26.5,30,-12.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15530802,La Cord? de Paterna NB,Al-Qazeres Extremadura,39.0,25.0,43,-14.0,UNDER,False,-1,-100
q3_total,men_or_open,15529272,Lan?s BC,Club Atl?tico Provincial,39.0,29.5,36,-9.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15527039,Selenge Bodons,Chi Forest Mongolians,39.0,28.7,39,-10.3,UNDER,False,-1,-100
q3_total,men_or_open,15527036,Bishrelt Metal,Khovd Falcons,39.0,24.3,30,-14.7,UNDER,True,0.91,91.0
q3_total,men_or_open,15525441,UCU Canons,Updf Tomahawks,39.0,26.0,24,-13.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15525434,Kampala Rockets,JT Jaguars BC,39.0,25.4,31,-13.6,UNDER,True,0.91,91.0
q3_total,men_or_open,15525430,UMU Flames,Rezlife Saints,39.0,25.4,33,-13.6,UNDER,True,0.91,91.0
q3_total,men_or_open,15525426,Updf Tomahawks,Victoria University Crocs,39.0,24.5,29,-14.5,UNDER,True,0.91,91.0
q3_total,women,15514808,UPDF Lady Tomahawks,Nabisunsa Girls,39.0,21.2,28,-17.8,UNDER,True,0.91,91.0
q3_total,women,15514805,KCCA Leopards,Victoria She Crocs,39.0,19.3,36,-19.7,UNDER,True,0.91,91.0
q3_total,women,15514802,Pearl Queens,Miracle Eaglets,39.0,20.6,29,-18.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15508236,Basketball Klosterneuburg,BC Vienna,39.0,25.5,34,-13.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15508235,Raiffeisen Flyers Wels,Kapfenberg Bulls,39.0,29.6,30,-9.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15508233,SKN St. P?lten,F?rstenfeld Panthers,39.0,22.7,39,-16.3,UNDER,False,-1,-100
q3_total,men_or_open,15508230,Swans Gmunden,BBC Nord Dragonz,39.0,29.6,47,-9.4,UNDER,False,-1,-100
q3_total,women,15504694,GDESSA Barreiro,Quinta dos Lombos,39.0,22.0,37,-17.0,UNDER,True,0.91,91.0
q3_total,women,15495107,KARA Trutnov,MBK Ru?omberok,39.0,17.2,39,-21.8,UNDER,False,-1,-100
q3_total,women,15495106,Sokol Hradec Kralove,SKK Polonia Warszawa,39.0,16.4,37,-22.6,UNDER,True,0.91,91.0
q3_total,women,15495105,MBK Ru?omberok,Sokol Hradec Kralove,39.0,17.8,35,-21.2,UNDER,True,0.91,91.0
q3_total,women,15495104,SKK Polonia Warszawa,KARA Trutnov,39.0,17.6,37,-21.4,UNDER,True,0.91,91.0
q3_total,women,15494370,Quimsa de Santiago del Estero,Hindu Club,39.0,18.3,32,-20.7,UNDER,True,0.91,91.0
q3_total,women,15494367,Nautico SP Avellaneda,Bochas SC Cordoba,39.0,15.6,48,-23.4,UNDER,False,-1,-100
q3_total,women,15494363,Ferro Carril Oeste,El Talar,39.0,17.8,27,-21.2,UNDER,True,0.91,91.0
q3_total,women,15494362,CA Lan?s,Deportivo Berazategui,39.0,20.6,24,-18.4,UNDER,True,0.91,91.0
q3_total,women,15493998,Clube Uni?o Sportiva,BC Barcelos,39.0,19.2,41,-19.8,UNDER,False,-1,-100
q3_total,women,15493997,CP Esgueira,CAB Madeira,39.0,17.8,35,-21.2,UNDER,True,0.91,91.0
q3_total,men_or_open,14442034,Denver Nuggets,Golden State Warriors,39.0,38.1,61,-0.9,UNDER,False,-1,-100
q3_total,men_or_open,15492717,CBC - Cora??o do Ribatejo,CBA Vigion Albufeira,39.0,25.5,35,-13.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15880671,Caballeros de Culiac?n,Toros Laguna,39.0,25.0,39,-14.0,UNDER,False,-1,-100
q3_total,men_or_open,15656128,ADS Sentinels,Enid Outlaws,39.0,27.2,44,-11.8,UNDER,False,-1,-100
q3_total,men_or_open,15492716,Estoril Basket Clube,Atl?tico CP,39.0,24.8,34,-14.2,UNDER,True,0.91,91.0
q3_total,men_or_open,15793862,Panteras de Miranda,Pioneros del Avila,39.0,29.6,42,-9.4,UNDER,False,-1,-100
q3_total,men_or_open,15492715,ABA IPCB,OS Belenenses,39.0,26.1,46,-12.9,UNDER,False,-1,-100
q3_total,men_or_open,15776209,Marinos de Oriente,H?roes de Falc?n,39.0,25.0,34,-14.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15492710,CBC - Cora??o do Ribatejo,Atl?tico CP,39.0,24.8,41,-14.2,UNDER,False,-1,-100
q3_total,men_or_open,15597804,The Sharks,CD Illapel Basquetbol,39.0,28.9,44,-10.1,UNDER,False,-1,-100
q3_total,men_or_open,15492703,SC Vasco da Gama Sub23,CD P?voa Sub23,39.0,27.2,41,-11.8,UNDER,False,-1,-100
q3_total,men_or_open,15597803,CDS B?squetbol Constituci?n,Liceo de Curic?,39.0,29.1,44,-9.9,UNDER,False,-1,-100
q3_total,men_or_open,14439237,Indiana Pacers,Miami Heat,39.0,45.3,61,6.3,OVER,True,0.91,91.0
q3_total,men_or_open,15776207,Centauros de Portuguesa,Trotamundos de Carabobo,39.0,30.7,56,-8.3,UNDER,False,-1,-100
q3_total,men_or_open,15492702,SC Beira-Mar,Basquete Barcelos Eticol,39.0,29.9,33,-9.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15656197,St. Louis Griffins,Lebanon Leprechauns,39.0,42.1,70,3.1,OVER,True,0.91,91.0
q3_total,men_or_open,15492701,Clube Galitos,Guif?es S.C.,39.0,24.4,32,-14.6,UNDER,True,0.91,91.0
q3_total,men_or_open,15656142,Muskogee SkyKings,Little Rock Lightning,39.0,42.6,66,3.6,OVER,True,0.91,91.0
q3_total,men_or_open,15492700,Club 5Basket / Gondomar,FC Gaia,39.0,24.9,37,-14.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15639446,IVV/Cetaf,Am?rica Towers,39.0,25.9,31,-13.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15492687,Scalipus Set?bal,El?ctrico Futebol Clube,39.0,29.7,42,-9.3,UNDER,False,-1,-100
q3_total,men_or_open,15366283,SC Lusitania Expert,Sampaense Basket,39.0,22.7,41,-16.3,UNDER,False,-1,-100
q3_total,men_or_open,15492686,Portimonense SC Sub23,Carnide Clube,39.0,24.9,30,-14.1,UNDER,True,0.91,91.0
q3_total,women,15898269,UCLA Bruins,Duke Blue Devils,39.0,20.2,28,-18.8,UNDER,True,0.91,91.0
q3_total,men_or_open,15492674,GDAS,Olivais Coimbra,39.0,25.2,39,-13.8,UNDER,False,-1,-100
q3_total,men_or_open,15656228,Tampa Bay Titans,Fayetteville Liberty,39.0,42.1,55,3.1,OVER,True,0.91,91.0
q3_total,men_or_open,15656182,Grove City Whitetails,Kokomo Bobkats,39.0,29.8,52,-9.2,UNDER,False,-1,-100
q3_total,men_or_open,15492673,Famalicense,Gafanha,39.0,22.7,40,-16.3,UNDER,False,-1,-100
q3_total,men_or_open,15492672,Acad?mico FC,Juvemaia-ACDC Maia,39.0,29.6,38,-9.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15656207,Newfoundland Rogues,Halifax Hoopers,39.0,42.6,54,3.6,OVER,True,0.91,91.0
q3_total,men_or_open,15492671,CB Viana,AD Sanjoanense,39.0,24.7,35,-14.3,UNDER,True,0.91,91.0
q3_total,men_or_open,15905264,BBA Porsche U14,Zalgiris U14,39.0,24.5,27,-14.5,UNDER,True,0.91,91.0
q3_total,women,15871254,Hamar Thor,Selfoss,39.0,16.1,38,-22.9,UNDER,True,0.91,91.0
q3_total,men_or_open,15656216,Tri-City Tide,Port City Power,39.0,29.6,54,-9.4,UNDER,False,-1,-100
q3_total,men_or_open,15656154,DMV Soldiers,Tri-State Admirals,39.0,29.6,48,-9.4,UNDER,False,-1,-100
q3_total,men_or_open,15478591,Adelaide 36ers,New Zealand Breakers,39.0,36.1,62,-2.9,UNDER,False,-1,-100
q3_total,men_or_open,15478140,Budapesti Honv?d SE,Falco KC-Szombathely,39.0,26.5,38,-12.5,UNDER,True,0.91,91.0
q3_total,men_or_open,14624149,BKK Radni?ki Beograd,OKK Beograd,39.0,27.6,43,-11.4,UNDER,False,-1,-100
q3_total,men_or_open,14341805,Estra Pistoia,Victoria Libertas Pesaro,39.0,26.6,45,-12.4,UNDER,False,-1,-100
q3_total,men_or_open,15478139,NHSZ-Szolnoki Olajb?ny?sz,Atomer?m? SE,39.0,28.9,39,-10.1,UNDER,False,-1,-100
q3_total,women,15476058,Hapoel Lev Jerusalem,Maccabi Haifa,39.0,19.3,32,-19.7,UNDER,True,0.91,91.0
q3_total,men_or_open,15639423,ABA IPCB,Atl?tico CP,39.0,29.7,30,-9.3,UNDER,True,0.91,91.0
q3_total,women,15476057,Maccabi Ramat Gan / Hen,Elizur Ramla,39.0,16.5,37,-22.5,UNDER,True,0.91,91.0
q3_total,men_or_open,14902186,KK Teodo Tivat,Danilovgrad,39.0,25.5,33,-13.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15471294,MS Academy,CZ.Academy,39.0,36.1,37,-2.9,UNDER,True,0.91,91.0
q3_total,men_or_open,14775138,CSM Oradea,CSM T?rgu Mure?,39.0,26.8,54,-12.2,UNDER,False,-1,-100
q3_total,men_or_open,15471292,BK Levharti Chomutov,Basketbal Olomouc,39.0,28.9,37,-10.1,UNDER,True,0.91,91.0
q3_total,men_or_open,14731181,KB Bashkimi,KB Golden Eagle Ylli,39.0,25.8,49,-13.2,UNDER,False,-1,-100
q3_total,men_or_open,15471274,SA Brno U23,Basketbal Polab?,39.0,24.4,66,-14.6,UNDER,False,-1,-100
q3_total,men_or_open,14500893,Bursaspor Basketbol,Fenerbah?e Beko,39.0,24.3,50,-14.7,UNDER,False,-1,-100
q3_total,men_or_open,15471265,Dekstone Turi Svitavy,BK Wolves Radotin,39.0,24.6,58,-14.4,UNDER,False,-1,-100
q3_total,men_or_open,15471264,BK Synthesia Pardubice,Slavoj BK Litom??ice,39.0,24.7,45,-14.3,UNDER,False,-1,-100
q3_total,women,15898321,Connecticut Huskies,Notre Dame Fighting Irish,39.0,20.6,26,-18.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15790564,Al Najma,Al Manama,39.0,26.0,46,-13.0,UNDER,False,-1,-100
q3_total,men_or_open,15485307,Perspektiva Ilirija,KK Krka Novo Mesto,39.0,27.6,39,-11.4,UNDER,False,-1,-100
q3_total,men_or_open,15445784,CSU ASE Bucuresti,CS Universitar Targoviste,39.0,36.1,38,-2.9,UNDER,True,0.91,91.0
q3_total,men_or_open,14733904,MZT Skopje Aerodrom,KK Rabotnicki AD Skopje,39.0,29.3,35,-9.7,UNDER,True,0.91,91.0
q3_total,men_or_open,15464560,BK Ventspils,Valmiera Glass VIA,39.0,25.5,34,-13.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15461682,Bah?e?ehir (Cyber),Morabanc Andorra (Cyber),39.0,25.4,35,-13.6,UNDER,True,0.91,91.0
q3_total,men_or_open,14270286,Monaco Basket,Le Mans Sarthe Basket,39.0,28.4,46,-10.6,UNDER,False,-1,-100
q3_total,men_or_open,15461497,Villars Basket,Swiss Central Basket,39.0,25.1,29,-13.9,UNDER,True,0.91,91.0
q3_total,women,14195106,Manchester Basketball,London Lions,39.0,19.5,33,-19.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15461494,Basket Club Boncourt,VRB/ULRB Riviera 1952,39.0,24.5,30,-14.5,UNDER,True,0.91,91.0
q3_total,men_or_open,14428863,Utenos Juventus,Kauno ?algiris,39.0,29.6,54,-9.4,UNDER,False,-1,-100
q3_total,men_or_open,15461485,Goldcoast Wallabies,BC B?ren Kleinbasel,39.0,24.3,36,-14.7,UNDER,True,0.91,91.0
q3_total,men_or_open,14373934,Palmer Alma Mediterr?nea Palma,Monbus Obradoiro,39.0,26.5,37,-12.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15461478,Meyrin Basket,Morges-Saint-Prex Red Devils,39.0,27.0,21,-12.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15795242,Vienna United,W?rthersee Piraten,39.0,29.6,33,-9.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15461469,SAV Vacallo Basket,Bernex Basket,39.0,29.6,40,-9.4,UNDER,False,-1,-100
q3_total,men_or_open,15526967,BC Vienna,Basketball Klosterneuburg,39.0,25.5,38,-13.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15461517,VRB/ULRB Riviera 1952,Acad?mie Fribourg U23,39.0,25.2,44,-13.8,UNDER,False,-1,-100
q3_total,men_or_open,15366232,Gin?sio Pat?s Mann?,Imortal BC U23,39.0,29.3,39,-9.7,UNDER,False,-1,-100
q3_total,men_or_open,14374785,Lbc Cocinas,Cultural y Deportiva Leonesa,39.0,24.9,36,-14.1,UNDER,True,0.91,91.0
q3_total,men_or_open,14343919,Banco di Sardegna Sassari,Nutribullet Treviso Basket,39.0,41.6,44,2.6,OVER,True,0.91,91.0
q3_total,men_or_open,15455182,Esgueira/Oli,SC Braga,39.0,30.0,45,-9.0,UNDER,False,-1,-100
q3_total,men_or_open,15446895,Valencia Basket,Real Madrid,39.0,34.8,52,-4.2,UNDER,False,-1,-100
q3_total,men_or_open,15446893,Bar?a Basket,Kosner Baskonia,39.0,26.0,32,-13.0,UNDER,True,0.91,91.0
q3_total,men_or_open,14128953,?l?sk Wroc?aw,TBV Start Lublin,39.0,29.6,39,-9.4,UNDER,False,-1,-100
q3_total,men_or_open,15446888,Real Madrid,Kosner Baskonia,39.0,29.1,40,-9.9,UNDER,False,-1,-100
q3_total,men_or_open,15444917,Saint-Quentin BB Espoirs U21,Paris Basketball Espoirs,39.0,31.6,43,-7.4,UNDER,False,-1,-100
q3_total,women,15902852,SL Benfica,GDESSA Barreiro,39.0,20.2,36,-18.8,UNDER,True,0.91,91.0
q3_total,women,15441302,Young Angels Ko?ice,Pie??ansk? ?ajky,39.0,19.3,33,-19.7,UNDER,True,0.91,91.0
q3_total,women,15441300,Sl?via Bansk? Bystrica,?BK ?amor?n,39.0,17.4,33,-21.6,UNDER,True,0.91,91.0
q3_total,men_or_open,15889730,SB? Ostrava,Levhartice Chomutov,39.0,25.1,24,-13.9,UNDER,True,0.91,91.0
q3_total,women,15441290,BK Klokani Ivanka Pri Dunaji,BK ?K UMB Bansk? Bystrica,39.0,20.6,35,-18.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15859185,Kaarinan Ura Basket,Tapiolan Honka II,39.0,28.7,42,-10.3,UNDER,False,-1,-100
q3_total,women,15441289,CBK Ko?ice,BK AS Tren??n,39.0,21.2,23,-17.8,UNDER,True,0.91,91.0
q3_total,women,15441286,Gen?ve LPLO,Esperance Sportive Pully,39.0,18.0,36,-21.0,UNDER,True,0.91,91.0
q3_total,women,15441285,Elfic Fribourg,Nyon Basket F?minin,39.0,17.8,42,-21.2,UNDER,False,-1,-100
q3_total,men_or_open,15856702,Free UNI & Agr UNI,Black Fortress,39.0,27.3,36,-11.7,UNDER,True,0.91,91.0
q3_total,men_or_open,15441271,Lahti Basketball,Kouvot Kouvola,39.0,29.7,54,-9.3,UNDER,False,-1,-100
q3_total,men_or_open,15441270,Kataja Basket,Kobrat,39.0,25.2,52,-13.8,UNDER,False,-1,-100
q3_total,men_or_open,15852756,BA Lynx Liberec,BK Novy Jicin,39.0,30.9,46,-8.1,UNDER,False,-1,-100
q3_total,men_or_open,15441268,Tampereen Pyrint?,Bisons Loimaa,39.0,29.6,43,-9.4,UNDER,False,-1,-100
q3_total,women,15848509,AIK Basket,Ostersund Basket,39.0,20.2,40,-18.8,UNDER,False,-1,-100
q3_total,men_or_open,15790563,AL Ahli BH,Al Muharraq,39.0,26.0,48,-13.0,UNDER,False,-1,-100
q3_total,men_or_open,15441257,Kauhajoen Karhu,KTP Basket Kotka,39.0,24.8,43,-14.2,UNDER,False,-1,-100
q3_total,men_or_open,15706619,KK Zadar,KK Dinamo Zagreb,39.0,28.9,48,-10.1,UNDER,False,-1,-100
q3_total,men_or_open,15566037,Kansai Helios Dom?ale,ECE Triglav Kranj,39.0,29.6,42,-9.4,UNDER,False,-1,-100
q3_total,men_or_open,15471315,USK Praha B,BK Lions Jindrichuv Hradec,39.0,26.5,50,-12.5,UNDER,False,-1,-100
q3_total,men_or_open,15471314,BK Napos Vysoka Nad Labem,BK Levharti Chomutov,39.0,24.2,40,-14.8,UNDER,False,-1,-100
q3_total,men_or_open,15461515,Lions de Gen?ve U23,Swiss Central Basket,39.0,26.6,45,-12.4,UNDER,False,-1,-100
q3_total,men_or_open,15432221,Mineras Zacatecas,Mieleras De Guanajuato,39.0,24.5,34,-14.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15432215,Mineras Zacatecas,Mieleras De Guanajuato,39.0,24.1,49,-14.9,UNDER,False,-1,-100
q3_total,men_or_open,15402642,Sokol P?sek Sr?ni,NH Ostrava,39.0,41.7,38,2.7,OVER,False,-1,-100
q3_total,women,15426483,?abiny Brno B,BK Hav??ov,39.0,18.5,35,-20.5,UNDER,True,0.91,91.0
q3_total,women,15426482,KP Brno B,SK UP Olomouc,39.0,16.6,38,-22.4,UNDER,True,0.91,91.0
q3_total,women,15426481,?BK P-H Sadsk?,BA Sparta,39.0,20.1,46,-18.9,UNDER,False,-1,-100
q3_total,men_or_open,14775136,CSO Voluntari,SCM Universitatea Craiova,39.0,29.3,49,-9.7,UNDER,False,-1,-100
q3_total,men_or_open,14731184,KB Peja,KB Sigal Prishtina,39.0,28.1,43,-10.9,UNDER,False,-1,-100
q3_total,women,15426480,TJ Sokol Pe?ky,USK Praha B,39.0,19.6,25,-19.4,UNDER,True,0.91,91.0
q3_total,men_or_open,14670965,Rucker Sanve San Vendemiano,Siaz Basket,39.0,25.8,43,-13.2,UNDER,False,-1,-100
q3_total,women,15426479,Levhartice Chomutov B,SK Aritma Praha,39.0,20.4,44,-18.6,UNDER,False,-1,-100
q3_total,men_or_open,14643752,Mambra Mamer,Arantia Larochette,39.0,39.8,49,0.8,OVER,True,0.91,91.0
q3_total,women,15426478,DBaK,Sokol Nusle,39.0,21.2,45,-17.8,UNDER,False,-1,-100
q3_total,men_or_open,14643742,Basket Esch,Musel Pikes,39.0,42.6,35,3.6,OVER,False,-1,-100
q3_total,women,15424285,?BK P-H Sadsk?,USK Praha B,39.0,17.8,54,-21.2,UNDER,False,-1,-100
q3_total,men_or_open,14538000,Sheffield Sharks,Surrey 89ers,39.0,28.9,46,-10.1,UNDER,False,-1,-100
q3_total,women,15420617,KP Brno B,BK Hav??ov,39.0,19.8,31,-19.2,UNDER,True,0.91,91.0
q3_total,men_or_open,14500897,Kar??yaka,Mersin SC,39.0,29.7,49,-9.3,UNDER,False,-1,-100
q3_total,men_or_open,14491586,MoraBanc Andorra,Kosner Baskonia,39.0,29.6,35,-9.4,UNDER,True,0.91,91.0
q3_total,women,14445746,?KK Medve??ak Zagreb,?KK Zadar Plus,39.0,16.9,30,-22.1,UNDER,True,0.91,91.0
q3_total,men_or_open,14441740,UNICS Kazan,PBC Lokomotiv-Kuban,39.0,26.0,36,-13.0,UNDER,True,0.91,91.0
q3_total,men_or_open,14343928,Vanoli Basket Cremona,GeVi Napoli Basket,39.0,24.7,55,-14.3,UNDER,False,-1,-100
q3_total,women,15420616,?abiny Brno B,SK UP Olomouc,39.0,19.5,21,-19.5,UNDER,True,0.91,91.0
q3_total,men_or_open,14341079,Pallacanestro Fiorenzuola 1972,Orlandina Basket,39.0,26.0,44,-13.0,UNDER,False,-1,-100
q3_total,women,14336912,Golfo Basket Alcamo,C.U.S. Cagliari,39.0,20.4,33,-18.6,UNDER,True,0.91,91.0
q3_total,women,14195107,Caledonia Gladiators,Nottingham Wildcats,39.0,16.4,22,-22.6,UNDER,True,0.91,91.0
q3_total,women,15420615,TJ Sokol Pe?ky,BA Sparta,39.0,18.3,45,-20.7,UNDER,False,-1,-100
q3_total,men_or_open,15889780,Basket Ostrava,Slovanka MB,39.0,26.1,50,-12.9,UNDER,False,-1,-100
q3_total,women,15420614,DBaK,SK Aritma Praha,39.0,19.5,23,-19.5,UNDER,True,0.91,91.0
q3_total,men_or_open,14698314,Bamberg Baskets,Gladiators Trier,39.0,29.3,42,-9.7,UNDER,False,-1,-100
q3_total,men_or_open,14270279,Boulazac Basket,SIG Strasbourg,39.0,25.5,46,-13.5,UNDER,False,-1,-100
q3_total,men_or_open,15412581,Al Najma,Nuwaidrat,39.0,27.2,44,-11.8,UNDER,False,-1,-100
q3_total,men_or_open,15902950,KKS Basket Poznan U14,Panter Niksic U14,39.0,24.1,45,-14.9,UNDER,False,-1,-100
q3_total,men_or_open,15900298,BK Rilski U14,Zentro Basket Madrid U14,39.0,24.7,45,-14.3,UNDER,False,-1,-100
q3_total,men_or_open,15879747,VEF R?ga,Valmiera Glass VIA,39.0,26.5,41,-12.5,UNDER,False,-1,-100
q3_total,women,15410940,Vestri,Athena Basket,39.0,17.2,57,-21.8,UNDER,False,-1,-100
q3_total,men_or_open,15859226,Hyvinkaan Ponteva,Peu-Basket,39.0,26.1,34,-12.9,UNDER,True,0.91,91.0
q3_total,men_or_open,15409554,Galitos Basquetebol,Porto,39.0,30.7,36,-8.3,UNDER,True,0.91,91.0
q3_total,men_or_open,15859225,KTP Basket Kotka II,Kataja Basket Talents,39.0,29.6,35,-9.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15409553,Sporting CP,UD Oliveirense,39.0,29.8,42,-9.2,UNDER,False,-1,-100
q3_total,men_or_open,15849618,Torpan Pojat,Kipina Basket,39.0,29.6,37,-9.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15408381,CSO Voluntari 2,CSM Petrolul Ploiesti 2,39.0,25.9,47,-13.1,UNDER,False,-1,-100
q3_total,men_or_open,15408380,CS Rapid Bucure?ti 2,CSM Corona Bra?ov 2,39.0,24.6,28,-14.4,UNDER,True,0.91,91.0
q3_total,women,15848508,Malbas Basketbollklubb,Lulea BBK,39.0,16.7,30,-22.3,UNDER,True,0.91,91.0
q3_total,men_or_open,15408379,BC CSU Sibiu 2,ACS U-BT Cluj-Napoca 2,39.0,24.9,39,-14.1,UNDER,False,-1,-100
q3_total,women,15617138,Turun Nkmy,Torpan Pojat II,39.0,17.9,23,-21.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15408378,CSS VSK Gheorgheni,CS Universitatea Craiova,39.0,25.8,26,-13.2,UNDER,True,0.91,91.0
