league,total,l30,l7,weeks,is_women,volume_s,recency_s,consistency_s,gender_s,total_score,decision,reason
NCAA Women's Division I; Regular season,1171,0,0,9,1,40.0,0.0,8.0,15.0,63.0,dormant,score 63.0 suficiente pero solo 0 partidos en ultimos 30 dias (minimo 10). Probable temporada terminada.
NCAA,385,0,0,3,0,35.0,0.0,12.0,15.0,62.0,dormant,score 62.0 suficiente pero solo 0 partidos en ultimos 30 dias (minimo 10). Probable temporada terminada.
The Basketball League; Regular Season,115,54,6,8,0,15.0,24.0,8.0,15.0,62.0,activate,score 62.0>=40; 115 muestras totales; 54 en ultimos 30 dias.
Superliga,77,50,10,7,0,8.0,27.0,12.0,15.0,62.0,activate,score 62.0>=40; 77 muestras totales; 50 en ultimos 30 dias.
Israeli National League Basketball,76,37,23,10,0,8.0,26.0,12.0,15.0,61.0,activate,score 61.0>=40; 76 muestras totales; 37 en ultimos 30 dias.
NCAA Men's Division III; Regular season,300,0,0,3,0,35.0,0.0,8.0,15.0,58.0,dormant,score 58.0 suficiente pero solo 0 partidos en ultimos 30 dias (minimo 10). Probable temporada terminada.
LF Challenge; Regular Season,80,31,11,12,0,8.0,23.0,12.0,15.0,58.0,activate,score 58.0>=40; 80 muestras totales; 31 en ultimos 30 dias.
CIBACOPA ; Primera Vuelta,103,38,2,9,0,15.0,17.0,8.0,15.0,55.0,activate,score 55.0>=40; 103 muestras totales; 38 en ultimos 30 dias.
Liga Nationala,75,33,6,11,0,8.0,20.0,12.0,15.0,55.0,activate,score 55.0>=40; 75 muestras totales; 33 en ultimos 30 dias.
Nationale 1; Relegation Round,55,33,6,7,0,8.0,20.0,12.0,15.0,55.0,activate,score 55.0>=40; 55 muestras totales; 33 en ultimos 30 dias.
Nationale 1; Promotion Round,52,31,5,6,0,8.0,20.0,12.0,15.0,55.0,activate,score 55.0>=40; 52 muestras totales; 31 en ultimos 30 dias.
EYBL U16; CHALLENGE CUP,34,34,16,3,0,2.0,26.0,12.0,15.0,55.0,activate,score 55.0>=40; 34 muestras totales; 34 en ultimos 30 dias.
Serie B; Group B,99,21,9,12,0,8.0,19.0,12.0,15.0,54.0,activate,score 54.0>=40; 99 muestras totales; 21 en ultimos 30 dias.
Germany BBL,95,26,9,13,0,8.0,19.0,12.0,15.0,54.0,activate,score 54.0>=40; 95 muestras totales; 26 en ultimos 30 dias.
Meridianbet KLS,88,29,10,13,0,8.0,19.0,12.0,15.0,54.0,activate,score 54.0>=40; 88 muestras totales; 29 en ultimos 30 dias.
BNXT League,88,23,12,11,0,8.0,19.0,12.0,15.0,54.0,activate,score 54.0>=40; 88 muestras totales; 23 en ultimos 30 dias.
U21 Espoirs Elite,76,28,10,13,0,8.0,19.0,12.0,15.0,54.0,activate,score 54.0>=40; 76 muestras totales; 28 en ultimos 30 dias.
Belgian Basketball 2nd Division,73,16,4,11,0,8.0,16.0,15.0,15.0,54.0,activate,score 54.0>=40; 73 muestras totales; 16 en ultimos 30 dias.
Swedish Basketball Superettan,69,18,6,11,0,8.0,16.0,15.0,15.0,54.0,activate,score 54.0>=40; 69 muestras totales; 18 en ultimos 30 dias.
Segunda FEB; Group West,58,20,5,9,0,8.0,16.0,15.0,15.0,54.0,activate,score 54.0>=40; 58 muestras totales; 20 en ultimos 30 dias.
Liga Argentina; Playoffs,22,22,16,3,0,2.0,22.0,15.0,15.0,54.0,activate,score 54.0>=40; 22 muestras totales; 22 en ultimos 30 dias.
Super League,140,29,0,11,0,15.0,10.0,12.0,15.0,52.0,activate,score 52.0>=40; 140 muestras totales; 29 en ultimos 30 dias.
PBA Commissioner's Cup,40,32,10,6,0,2.0,23.0,12.0,15.0,52.0,activate,score 52.0>=40; 40 muestras totales; 32 en ultimos 30 dias.
RKL Division A,111,12,0,9,0,15.0,6.0,15.0,15.0,51.0,activate,score 51.0>=40; 111 muestras totales; 12 en ultimos 30 dias.
Primera FEB,85,24,7,10,0,8.0,16.0,12.0,15.0,51.0,activate,score 51.0>=40; 85 muestras totales; 24 en ultimos 30 dias.
 Liga 1 Masculin; Faza II,85,16,4,11,0,8.0,16.0,12.0,15.0,51.0,activate,score 51.0>=40; 85 muestras totales; 16 en ultimos 30 dias.
Prva Liga,75,19,6,12,0,8.0,16.0,12.0,15.0,51.0,activate,score 51.0>=40; 75 muestras totales; 19 en ultimos 30 dias.
Liga ACB,74,20,6,10,0,8.0,16.0,12.0,15.0,51.0,activate,score 51.0>=40; 74 muestras totales; 20 en ultimos 30 dias.
United League,73,21,7,13,0,8.0,16.0,12.0,15.0,51.0,activate,score 51.0>=40; 73 muestras totales; 21 en ultimos 30 dias.
Turkish Basketball Super League,72,23,5,12,0,8.0,16.0,12.0,15.0,51.0,activate,score 51.0>=40; 72 muestras totales; 23 en ultimos 30 dias.
France Pro A,68,22,7,10,0,8.0,16.0,12.0,15.0,51.0,activate,score 51.0>=40; 68 muestras totales; 22 en ultimos 30 dias.
Polish Basketball League,67,24,5,11,0,8.0,16.0,12.0,15.0,51.0,activate,score 51.0>=40; 67 muestras totales; 24 en ultimos 30 dias.
Segunda FEB; Group East,56,18,5,10,0,8.0,16.0,12.0,15.0,51.0,activate,score 51.0>=40; 56 muestras totales; 18 en ultimos 30 dias.
Hungary NB 1.A,56,22,7,9,0,8.0,16.0,12.0,15.0,51.0,activate,score 51.0>=40; 56 muestras totales; 22 en ultimos 30 dias.
Bulgaria NBL,56,25,7,11,0,8.0,16.0,12.0,15.0,51.0,activate,score 51.0>=40; 56 muestras totales; 25 en ultimos 30 dias.
1st Division,54,15,6,10,0,8.0,16.0,12.0,15.0,51.0,activate,score 51.0>=40; 54 muestras totales; 15 en ultimos 30 dias.
Croatian Premier League,52,19,5,11,0,8.0,16.0,12.0,15.0,51.0,activate,score 51.0>=40; 52 muestras totales; 19 en ultimos 30 dias.
Puerto Rico BSN,29,29,15,5,0,2.0,22.0,12.0,15.0,51.0,activate,score 51.0>=40; 29 muestras totales; 29 en ultimos 30 dias.
NBL1; South,26,26,17,3,0,2.0,22.0,12.0,15.0,51.0,activate,score 51.0>=40; 26 muestras totales; 26 en ultimos 30 dias.
EYBL U17; CHALLENGE CUP,23,23,16,3,0,2.0,22.0,12.0,15.0,51.0,activate,score 51.0>=40; 23 muestras totales; 23 en ultimos 30 dias.
Regular season,451,0,0,2,0,35.0,0.0,0.0,15.0,50.0,dormant,score 50.0 suficiente pero solo 0 partidos en ultimos 30 dias (minimo 10). Probable temporada terminada.
Serie B; Group A,99,22,9,12,0,8.0,19.0,8.0,15.0,50.0,activate,score 50.0>=40; 99 muestras totales; 22 en ultimos 30 dias.
TBL,58,18,1,9,0,8.0,13.0,12.0,15.0,48.0,activate,score 48.0>=40; 58 muestras totales; 18 en ultimos 30 dias.
NBL Men ; Regular Season,58,24,2,10,0,8.0,13.0,12.0,15.0,48.0,activate,score 48.0>=40; 58 muestras totales; 24 en ultimos 30 dias.
FSHB Superliga; K.K.M 2025-26,49,15,8,10,0,2.0,19.0,12.0,15.0,48.0,activate,score 48.0>=40; 49 muestras totales; 15 en ultimos 30 dias.
Lega A Basket,56,14,3,11,0,8.0,12.0,12.0,15.0,47.0,activate,score 47.0>=40; 56 muestras totales; 14 en ultimos 30 dias.
Saku I liiga,55,10,4,13,0,8.0,12.0,12.0,15.0,47.0,activate,score 47.0>=40; 55 muestras totales; 10 en ultimos 30 dias.
Jedinstvena kadetska liga,55,9,3,11,0,8.0,12.0,12.0,15.0,47.0,dormant,score 47.0 suficiente pero solo 9 partidos en ultimos 30 dias (minimo 10). Probable temporada terminada.
CIBACOPA ; Segunda Vuelta,23,23,18,3,0,2.0,22.0,8.0,15.0,47.0,activate,score 47.0>=40; 23 muestras totales; 23 en ultimos 30 dias.
Korean Basketball League,90,21,0,11,0,8.0,10.0,12.0,15.0,45.0,activate,score 45.0>=40; 90 muestras totales; 21 en ultimos 30 dias.
Divisione Regionale 1 Toscana; Girone A,69,20,0,7,0,8.0,10.0,12.0,15.0,45.0,activate,score 45.0>=40; 69 muestras totales; 20 en ultimos 30 dias.
Divisione Regionale 1 Toscana; Girone B,65,19,0,8,0,8.0,10.0,12.0,15.0,45.0,activate,score 45.0>=40; 65 muestras totales; 19 en ultimos 30 dias.
Tipos SBL,61,20,0,9,0,8.0,10.0,12.0,15.0,45.0,activate,score 45.0>=40; 61 muestras totales; 20 en ultimos 30 dias.
Elite League,56,21,0,7,0,8.0,10.0,12.0,15.0,45.0,activate,score 45.0>=40; 56 muestras totales; 21 en ultimos 30 dias.
Portugal LBP,41,18,6,8,0,2.0,16.0,12.0,15.0,45.0,activate,score 45.0>=40; 41 muestras totales; 18 en ultimos 30 dias.
ABA Liga; Relegation Round,37,22,6,8,0,2.0,16.0,12.0,15.0,45.0,activate,score 45.0>=40; 37 muestras totales; 22 en ultimos 30 dias.
NKL; Playoffs,23,23,5,5,0,2.0,16.0,12.0,15.0,45.0,activate,score 45.0>=40; 23 muestras totales; 23 en ultimos 30 dias.
Serie A2,96,24,1,12,0,8.0,13.0,8.0,15.0,44.0,activate,score 44.0>=40; 96 muestras totales; 24 en ultimos 30 dias.
Germany Pro A,59,14,2,7,0,8.0,9.0,12.0,15.0,44.0,activate,score 44.0>=40; 59 muestras totales; 14 en ultimos 30 dias.
Indonesian Basketball League,57,5,2,10,0,8.0,9.0,12.0,15.0,44.0,dormant,score 44.0 suficiente pero solo 5 partidos en ultimos 30 dias (minimo 10). Probable temporada terminada.
1. Division B,54,6,0,9,0,8.0,6.0,15.0,15.0,44.0,dormant,score 44.0 suficiente pero solo 6 partidos en ultimos 30 dias (minimo 10). Probable temporada terminada.
A1 Liga,53,7,1,11,0,8.0,9.0,12.0,15.0,44.0,dormant,score 44.0 suficiente pero solo 7 partidos en ultimos 30 dias (minimo 10). Probable temporada terminada.
Chile LNB,21,21,11,4,0,2.0,19.0,8.0,15.0,44.0,activate,score 44.0>=40; 21 muestras totales; 21 en ultimos 30 dias.
NBL; Championship Round,41,17,2,11,0,2.0,13.0,12.0,15.0,42.0,activate,score 42.0>=40; 41 muestras totales; 17 en ultimos 30 dias.
1. Division A; Playoffs,21,21,2,5,0,2.0,13.0,12.0,15.0,42.0,activate,score 42.0>=40; 21 muestras totales; 21 en ultimos 30 dias.
NBL,98,7,0,10,0,8.0,6.0,12.0,15.0,41.0,dormant,score 41.0 suficiente pero solo 7 partidos en ultimos 30 dias (minimo 10). Probable temporada terminada.
NexLvl Cyber Euroleague,80,13,0,7,0,8.0,6.0,12.0,15.0,41.0,activate,score 41.0>=40; 80 muestras totales; 13 en ultimos 30 dias.
2. Muška Liga,52,14,0,6,0,8.0,6.0,12.0,15.0,41.0,activate,score 41.0>=40; 52 muestras totales; 14 en ultimos 30 dias.
SLB,47,14,5,10,0,2.0,12.0,12.0,15.0,41.0,activate,score 41.0>=40; 47 muestras totales; 14 en ultimos 30 dias.
1. A SKL,41,12,5,13,0,2.0,12.0,12.0,15.0,41.0,activate,score 41.0>=40; 41 muestras totales; 12 en ultimos 30 dias.
Sparkasse Prva Liga Zeni,39,13,4,10,0,2.0,12.0,12.0,15.0,41.0,activate,score 41.0>=40; 39 muestras totales; 13 en ultimos 30 dias.
Rwanda Basketball League; Regular Season,38,6,3,9,0,2.0,12.0,12.0,15.0,41.0,dormant,score 41.0 suficiente pero solo 6 partidos en ultimos 30 dias (minimo 10). Probable temporada terminada.
Betsafe-LKL,36,14,5,11,0,2.0,12.0,12.0,15.0,41.0,activate,score 41.0>=40; 36 muestras totales; 14 en ultimos 30 dias.
Superleague,35,10,5,8,0,2.0,12.0,12.0,15.0,41.0,activate,score 41.0>=40; 35 muestras totales; 10 en ultimos 30 dias.
Liga e Parë,35,13,3,11,0,2.0,12.0,12.0,15.0,41.0,activate,score 41.0>=40; 35 muestras totales; 13 en ultimos 30 dias.
1. Liga; Relegation Round,31,13,4,9,0,2.0,12.0,12.0,15.0,41.0,activate,score 41.0>=40; 31 muestras totales; 13 en ultimos 30 dias.
Liga Ouro; Classificação,25,10,3,7,0,2.0,12.0,12.0,15.0,41.0,activate,score 41.0>=40; 25 muestras totales; 10 en ultimos 30 dias.
Austrian Basketball Superliga; Championship Round,24,9,3,7,0,2.0,12.0,12.0,15.0,41.0,dormant,score 41.0 suficiente pero solo 9 partidos en ultimos 30 dias (minimo 10). Probable temporada terminada.
ABA Liga; Championship Round,23,12,3,9,0,2.0,12.0,12.0,15.0,41.0,activate,score 41.0>=40; 23 muestras totales; 12 en ultimos 30 dias.
Basketligaen; Championship round,22,13,4,7,0,2.0,12.0,12.0,15.0,41.0,activate,score 41.0>=40; 22 muestras totales; 13 en ultimos 30 dias.
Liga Femenina,65,15,7,9,1,8.0,16.0,15.0,0.0,39.0,dormant,volumen insuficiente (65 muestras). Esperar a acumular mas data.
2nd League,63,0,0,8,0,8.0,0.0,15.0,15.0,38.0,dormant,volumen insuficiente (63 muestras). Esperar a acumular mas data.
1. Division,51,0,0,8,0,8.0,0.0,15.0,15.0,38.0,dormant,volumen insuficiente (51 muestras). Esperar a acumular mas data.
Stoiximan GBL,48,14,1,10,0,2.0,9.0,12.0,15.0,38.0,dormant,volumen insuficiente (48 muestras). Esperar a acumular mas data.
Serie C Unica Toscana; Conference Nord - Ovest Girone C,44,11,0,6,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (44 muestras). Esperar a acumular mas data.
Switzerland LNA,41,10,0,7,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (41 muestras). Esperar a acumular mas data.
NBL; Playoffs,37,22,2,6,0,2.0,13.0,8.0,15.0,38.0,dormant,volumen insuficiente (37 muestras). Esperar a acumular mas data.
Druga muška liga - Centar,37,7,0,7,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (37 muestras). Esperar a acumular mas data.
A2 ESKAH,37,10,0,6,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (37 muestras). Esperar a acumular mas data.
A1 ESKAH,35,7,0,5,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (35 muestras). Esperar a acumular mas data.
Portugal Proliga; Championship Round,34,8,0,9,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (34 muestras). Esperar a acumular mas data.
Serie C Unica Lazio; Girone I,33,6,0,6,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (33 muestras). Esperar a acumular mas data.
Pro B; South,32,6,0,6,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (32 muestras). Esperar a acumular mas data.
Divisione Regionale 2 - Lazio; Girone C,31,8,0,7,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (31 muestras). Esperar a acumular mas data.
CN1 Basquetebol; 2ª Fase - Grupo Manutenção Norte,31,8,0,8,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (31 muestras). Esperar a acumular mas data.
Superliga e Femrave ,30,8,1,11,0,2.0,9.0,12.0,15.0,38.0,dormant,volumen insuficiente (30 muestras). Esperar a acumular mas data.
Serie C Unica Lazio; Girone H,30,6,0,5,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (30 muestras). Esperar a acumular mas data.
Divisione Regionale 2 - Lazio; Girone A,30,6,0,6,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (30 muestras). Esperar a acumular mas data.
Druga muška liga - Sjever,29,5,0,6,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (29 muestras). Esperar a acumular mas data.
CN1 Basquetebol; 2ª Fase - Grupo Promoção Sul,29,6,0,8,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (29 muestras). Esperar a acumular mas data.
CN1 Basquetebol; 2ª Fase - Grupo Promoção Norte,29,5,0,8,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (29 muestras). Esperar a acumular mas data.
Divisione Regionale 2 - Lazio; Girone B,28,5,0,6,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (28 muestras). Esperar a acumular mas data.
NLB; Qualifying round,27,7,0,8,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (27 muestras). Esperar a acumular mas data.
NLB; Promotion round,27,8,0,8,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (27 muestras). Esperar a acumular mas data.
I B MCKL,22,7,2,11,0,2.0,9.0,12.0,15.0,38.0,dormant,volumen insuficiente (22 muestras). Esperar a acumular mas data.
National League 2 - Group 5,20,5,0,4,0,2.0,6.0,15.0,15.0,38.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
I A MCKL,63,11,0,10,0,8.0,6.0,8.0,15.0,37.0,dormant,volumen insuficiente (63 muestras). Esperar a acumular mas data.
Egyptian Women's Basketball Super League; Regular Season,55,21,4,6,1,8.0,16.0,12.0,0.0,36.0,dormant,volumen insuficiente (55 muestras). Esperar a acumular mas data.
NBL1 South; Women,27,27,16,3,1,2.0,22.0,12.0,0.0,36.0,dormant,volumen insuficiente (27 muestras). Esperar a acumular mas data.
NBL1; East,22,22,11,2,0,2.0,19.0,0.0,15.0,36.0,dormant,volumen insuficiente (22 muestras). Esperar a acumular mas data.
Nostra.lt-RKL Division B; Reguliarusis sezonas,99,0,0,9,0,8.0,0.0,12.0,15.0,35.0,dormant,volumen insuficiente (99 muestras). Esperar a acumular mas data.
Estonian-Latvian Basketball League,61,0,0,8,0,8.0,0.0,12.0,15.0,35.0,dormant,volumen insuficiente (61 muestras). Esperar a acumular mas data.
1st Division Men,48,6,0,9,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (48 muestras). Esperar a acumular mas data.
Iceland Basketball Premier League,45,12,0,9,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (45 muestras). Esperar a acumular mas data.
Princ Caffe Superliga,41,9,0,10,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (41 muestras). Esperar a acumular mas data.
Serie B Interregionale; Division B,40,12,0,7,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (40 muestras). Esperar a acumular mas data.
Serie B Interregionale; Division A,40,10,0,7,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (40 muestras). Esperar a acumular mas data.
FBU Superleague,40,7,0,8,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (40 muestras). Esperar a acumular mas data.
Enovos League; Regular Season,40,13,0,8,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (40 muestras). Esperar a acumular mas data.
Serie B Interregionale; Division D,39,9,0,7,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (39 muestras). Esperar a acumular mas data.
Serie B Interregionale; Division C,38,8,0,7,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (38 muestras). Esperar a acumular mas data.
Türkiye Kadınlar Basketbol Ligi,36,10,0,8,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (36 muestras). Esperar a acumular mas data.
Portugal Proliga; Relegation Round,36,9,0,10,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (36 muestras). Esperar a acumular mas data.
Serie B Interregionale; Division F,35,8,0,6,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (35 muestras). Esperar a acumular mas data.
Pro B; North,35,6,0,6,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (35 muestras). Esperar a acumular mas data.
Serie B Interregionale; Division E,34,8,0,7,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (34 muestras). Esperar a acumular mas data.
Prva RL Istok,33,9,0,6,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (33 muestras). Esperar a acumular mas data.
B Ethniki - Group 3,33,6,0,6,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (33 muestras). Esperar a acumular mas data.
1st DBBL,33,10,0,8,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (33 muestras). Esperar a acumular mas data.
B Ethniki - Group 1,32,7,0,7,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (32 muestras). Esperar a acumular mas data.
B Ethniki - Group 2,30,6,0,7,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (30 muestras). Esperar a acumular mas data.
National Invitation Tournament,29,26,0,3,0,2.0,10.0,8.0,15.0,35.0,dormant,volumen insuficiente (29 muestras). Esperar a acumular mas data.
CN1 Basquetebol; 2ª Fase - Grupo Manutenção Sul,29,7,0,8,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (29 muestras). Esperar a acumular mas data.
Espoirs Pro B - 2e phase - Poule A,27,7,0,7,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (27 muestras). Esperar a acumular mas data.
Espoirs Pro B - 2e phase - Poule B,26,5,0,6,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (26 muestras). Esperar a acumular mas data.
A ESKAVDE ,26,5,0,6,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (26 muestras). Esperar a acumular mas data.
Championship; Group A,22,7,0,8,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (22 muestras). Esperar a acumular mas data.
National League 2 - Group 3,21,5,0,5,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (21 muestras). Esperar a acumular mas data.
National League 2 - Group 1,21,5,0,5,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (21 muestras). Esperar a acumular mas data.
National League,21,6,0,7,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (21 muestras). Esperar a acumular mas data.
Chinese Taipei TPBL,20,7,0,5,0,2.0,6.0,12.0,15.0,35.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
Liga Femenina; Women; Clausura,113,13,0,10,1,15.0,6.0,12.0,0.0,33.0,dormant,volumen insuficiente (113 muestras). Esperar a acumular mas data.
Serie A2; Women; Group B,63,19,0,11,1,8.0,10.0,15.0,0.0,33.0,dormant,volumen insuficiente (63 muestras). Esperar a acumular mas data.
Serie A2; Women; Group A,61,19,0,11,1,8.0,10.0,15.0,0.0,33.0,dormant,volumen insuficiente (61 muestras). Esperar a acumular mas data.
Mexico LNBP Women,34,26,9,6,1,2.0,19.0,12.0,0.0,33.0,dormant,volumen insuficiente (34 muestras). Esperar a acumular mas data.
NBL; West,42,0,0,8,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (42 muestras). Esperar a acumular mas data.
NKL; Relegation Round,36,0,0,5,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (36 muestras). Esperar a acumular mas data.
Uruguay LUB,32,0,0,5,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (32 muestras). Esperar a acumular mas data.
NKL; Championship Round,28,0,0,4,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (28 muestras). Esperar a acumular mas data.
Korisliiga; Qualifying round,27,3,0,6,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (27 muestras). Esperar a acumular mas data.
Prva RL Zapad; Group A,26,3,0,6,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (26 muestras). Esperar a acumular mas data.
Zimsko Košarkaško Prvenstvo Čakovec,25,0,0,5,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (25 muestras). Esperar a acumular mas data.
Liga Košarkaškog saveza Herceg Bosne,24,3,0,6,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (24 muestras). Esperar a acumular mas data.
Korisliiga; Championship round,24,3,0,6,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (24 muestras). Esperar a acumular mas data.
BLNO,24,0,0,3,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (24 muestras). Esperar a acumular mas data.
Treća muška liga - Centar,23,3,0,6,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (23 muestras). Esperar a acumular mas data.
Prva liga Republike Srpske,21,0,0,5,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (21 muestras). Esperar a acumular mas data.
Azerbaijan Basketball League; B Group,21,3,0,8,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (21 muestras). Esperar a acumular mas data.
The League; Плэйофф 1-р шат,20,0,0,3,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
TB2L; Group B,20,0,0,5,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
Női Amatőr NB 1 - Zöld csoport,20,0,0,4,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
NCAA Division III; Championship,20,4,0,3,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
Eurocup; Group B,20,0,0,4,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
Eurocup; Group A,20,0,0,4,0,2.0,0.0,15.0,15.0,32.0,dormant,volumen insuficiente (20 muestras). Esperar a acumular mas data.
CBI U19; Sede Curitiba,47,47,0,2,0,2.0,14.0,0.0,15.0,31.0,dormant,volumen insuficiente (47 muestras). Esperar a acumular mas data.
